Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 68
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429.72617609468,3531.11186958385,3605.53452218504,3551.69417794925,3331.8723701395,3443.02396220166,3560.04680296284,3525.65634059654,3620.30020550418,3482.47327363587,3687.68679156273,3769.68344840308,3911.05653137379,3910.94063515996,4016.90677142095,4306.36623314369,4617.08901255599,4268.45623077886,4474.34538666009,4827.95412483377,5153.25507016527,5204.00083364149,6093.01632213302,5868.94460921486,5769.14806736445,4746.04011241499,4043.70013817739,4476.99360198666,5636.42558854992,5766.7549235887,4813.31562649405,6323.71757921482,6713.96363730791,6932.93820935238,
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.50628292481,2745.16365760724,2698.52671782569,2658.17544516489,2640.6162935876,2787.62309080028,2952.51392131432,3180.58880973224,3242.7708771116,3227.92917186306,3203.34658837138,3122.07413494785,3007.55650629758,2852.22939453506,2952.39209260879,3006.34480336311,3116.67755044392,3167.1904693785,3311.30297779937,3379.44548689873,3578.21892074988,3384.9309791454,3508.45783399594,3855.86546262323,4345.61667514674,4711.49284430112,4862.918019013,5046.04768918974,5327.8249854095,5947.92408892987,5978.82274140233,6520.73116025072,7234.22669294199,7790.85551957628,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21891.0453557033,23057.2613636999,23479.7973302155,23522.274888985,23791.1974139806,24081.1512147175,24590.1923675369,25374.1429866156,26098.471152821,25950.3950373571,25956.8107583086,26251.3627992366,25105.9924749835,24821.7962782173,24347.7604866101,24037.6486252583,23649.5914937775,24321.7467432044,24623.0413085512,25396.9967729561,21797.0190515902,25163.9934463262,29523.5250828064,,
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2961.40860396615,3140.66258803446,3274.99795025397,3355.33398165646,3459.50472003204,3584.27200514152,3777.71173612833,3932.53607258348,3896.18457121712,3974.08140277766,4176.4176,4274.45179894745,4351.7550296826,4597.96453734913,4950.90570230907,5327.50937962341,5769.54952888694,6191.27418127781,6477.99954273098,6564.44935008049,6974.02101929872,7389.11279232455,7762.55623322461,7994.57340163642,8224.2668049711,8332.69328032325,8647.51898089679,9078.32659038228,9590.82943012095,9910.48275143819,9665.10971553127,10752.0350024521,12142.2432595477,13095.9478361676,
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250.68095239595,3499.87833416765,3725.05458250859,3966.10800371317,4251.35180785747,4567.47859247421,4888.67922743897,5141.73498667175,5136.32380720463,5371.28924876615,5775.98467634083,6079.74822079109,6451.89025695501,6875.75144359374,7460.03388792562,8117.03935225767,8910.53229481347,9845.57707069036,10468.7103627138,10847.8386731863,11778.0347887076,12665.6530849602,13536.2273984038,14276.9265050318,14841.1410557412,15309.9626858088,15872.8804910851,16663.6416702187,17770.1576272425,18823.8203995837,19126.9532164683,21207.8616674989,23289.3171281259,25131.2962561086,
East Asia & Pacific (IDA & IBRD countries),TEA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476.1957465299,1617.89832864193,1798.00193319219,2003.76245634969,2226.00965649618,2457.9449894543,2688.74868558073,2883.00376157535,2904.65698330269,3083.4216413793,3350.66754909406,3613.53329408033,3914.61350987391,4293.91541194777,4753.47909399858,5319.758623935,6005.02668590634,6837.53094225806,7483.55559241492,8027.1415247186,8837.19483445947,9688.15974521769,10535.578781032,11180.5683474382,11749.226100972,12133.4262634086,12727.7066810994,13485.9026881604,14585.5195422585,15659.985796887,15967.7770101713,17900.9397648165,19808.2362468327,21507.7013931115,
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.71241220114,1598.76295196127,1776.7453240371,1980.06198663531,2199.63682458075,2428.83818084753,2656.99573723041,2849.07372051385,2870.59028523823,3047.39137845422,3311.65746578646,3571.61226561419,3869.38394115676,4244.45295503891,4698.80162384215,5258.69505657234,5936.28664683926,6759.50424602354,7398.43440383623,7936.1366937265,8737.34782592389,9579.14620911343,10417.6018804082,11055.9066584087,11618.6587245402,11998.9323514084,12586.9921537481,13337.2597532909,14425.0838003375,15487.9473229035,15792.4479110189,17704.2856043395,19590.3533629688,21270.7762392199,
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3639.70470983815,3714.482232985,3877.87975622354,3992.24635243518,4145.37603958918,4332.76358923456,4533.40414660063,4761.12931440273,4975.22561181531,5239.16549195859,5582.27567096494,5789.47390502415,5895.39588743865,6075.59024708131,6363.66063666962,6722.02777516483,7260.83184299592,7831.77255711,8388.04140430012,8663.08686691346,9034.63699841388,9178.85358944855,10560.1416087606,10731.5388864646,10464.1924134677,11112.3736247025,10864.5381900455,11333.1184260928,12559.9651691847,13608.499714576,15494.0788227574,15820.6713809388,17769.2237397576,18816.5055922135,
Euro area,EMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17030.4531228522,17902.9154387197,18408.4430632184,18617.6966320904,19418.1898913132,20258.1390814602,20896.3708925449,21737.9564056665,22777.8175356101,23646.3728046911,25115.6373952081,26305.6726173124,27343.7487331103,27797.9541676874,28892.1648050279,29887.8317498363,32342.2742149906,34236.4282894979,35526.6098679105,34606.5906617918,35569.574855606,37220.3180436906,37593.318953072,38776.9233467881,39736.263178629,40826.3267228219,43313.4657544846,45399.5680224631,47320.1602324273,50853.4202112256,49285.504970038,54208.1300845637,59534.2072802853,62585.8387737249,
Europe & Central Asia,ECS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11940.7964399211,12182.1356232015,12185.8518398874,12263.1775124735,12461.33118023,12931.5821643845,13376.6183660303,13950.7669924304,14236.2561888051,14787.7280741874,15927.5546532784,16734.3841786186,17537.9078592333,18204.7787628741,19329.9501727117,20360.0714660776,22542.0088391962,24166.7738750379,25814.008291598,25082.9206029762,26145.6431970393,27709.2793462511,28476.3831947995,29754.2395159627,30488.5380163292,30917.5185625484,32328.5945646293,34029.1848314838,35730.9323788201,38322.895193471,37780.4475784033,42464.9646444818,46899.6040232529,49755.6047003729,
